text,norm,loc,per,org
20 апреля 2021 В Амурской области введена в эксплуатацию Свободненская теплоэлектростанция. Она обеспечит технологическим паром и электроэнергией Амурский газоперерабатывающий завод.,20 апрель 2021 в амурский область ввести в эксплуатация свободненский теплоэлектростанция . она обеспечить технологический пар и электроэнергия амурский газоперерабатывающий завод .,Амурская область,,Амурский газоперерабатывающий завод
"21 мая 2021 Началось строительство Комплекса по переработке этансодержащего газа в районе Усть-Луги — уникального в мире кластера, объединяющего и газопереработку, и газохимию, и сжижение природного газа.","21 май 2021 начаться строительство комплекс по переработка этансодержащий газ в район усть-луга — уникальный в мир кластер , объединять и газопереработка , и газохимия , и сжижение природный газ .",Усть-Луги,,
9 июня 2021 Амурский газоперерабатывающий завод запущен в работу.,9 июнь 2021 амурский газоперерабатывающий завод запустить в работа .,,,Амурский газоперерабатывающий завод
"4 августа 2021 «Газпром» зарегистрирован в Санкт-Петербурге. Новый адрес компании — г. Санкт-Петербург, пр-кт Лахтинский, д. 2, к. 3, стр. 1 (МФК «Лахта Центр»).","4 август 2021 « газпром » зарегистрировать в санкт-петербург . новый адрес компания — г . санкт-петербург , пр-кт лахтинский , д . 2 , к . 3 , стр . 1 ( мфк « лахта центр » ) .",Санкт-Петербург Лахтинский,,Газпром МФК «Лахта Центр
"3 сентября 2021 На Амурском газоперерабатывающем заводе: запущена вторая технологическая линия; начала работу первая из трех установок выделения, сжижения и затаривания гелия.","3 сентябрь 2021 на амурский газоперерабатывающий завод : запустить второй технологический линия ; начать работа первый из три установка выделение , сжижение и затаривание гелий .",,,Амурский газоперерабатывающий завод
"3 сентября 2021 В Приморском крае введен в эксплуатацию крупнейший в мире гелиевый хаб. Его задача — обслуживание контейнеров, направляемых на Амурский газоперерабатывающий завод для заполнения, организация логистики, прием, весовой контроль и подготовка изотермических контейнеров, прибывающих с завода, к предстоящей погрузке на морские суда.","3 сентябрь 2021 в приморский край ввести в эксплуатация крупный в мир гелиевый хаб . его задача — обслуживание контейнер , направлять на амурский газоперерабатывающий завод для заполнение , организация логистика , прием , весовой контроль и подготовка изотермический контейнер , прибывать с завод , к предстоящий погрузка на морской судно .",Приморский край,,Амурский газоперерабатывающий завод
10 сентября 2021 Завершено строительство газопровода «Северный поток — 2».,10 сентябрь 2021 завершить строительство газопровод « северный поток — 2 » .,,,
"27 сентября 2021 Подписаны два долгосрочных контракта на поставку российского газа в Венгрию. Суммарный объем контрактов — до 4,5 млрд куб. м в год, срок действия каждого из них — 15 лет.","27 сентябрь 2021 подписать два долгосрочный контракт на поставка российский газ в венгрия . суммарный объем контракт — до 4,5 млрд куб . м в год , срок действие каждый из они — 15 год .",Венгрия,,
4 февраля 2022 Подписан контракт на поставку российского трубопроводного газа в Китай по «дальневосточному» маршруту между ПАО «Газпром» и CNPC. Новый маршрут увеличит объем поставок российского газа в Китай на 10 млрд куб. м.,4 февраль 2022 подписать контракт на поставка российский трубопроводный газ в китай по « дальневосточный » маршрут между пао « газпром » и cnpc . новый маршрут увеличить объем поставка российский газ в китай на 10 млрд куб . м .,Китай,,CNPC ПАО «Газпром»
"23 марта 2022 Реализован комплексный проект по эффективному освоению углеводородных запасов месторождений Надым-Пур-Тазовского региона. В комплекс входят установка стабилизации конденсата месторождений Надым-Пур-Тазовского региона, нефтеперекачивающая станция «Уренгойская», нефтеконденсатопровод «Уренгой — Пур-Пэ» и приемо-сдаточный пункт.","23 март 2022 реализовать комплексный проект по эффективный освоение углеводородный запас месторождение надым-пур-тазовский регион . в комплекс входить установка стабилизация конденсат месторождение надым-пур-тазовский регион , нефтеперекачивающий станция « уренгойский » , нефтеконденсатопровод « уренгой — пур-пэ » и приемо-сдаточный пункт .",Надым-Пур-Тазовского Уренгой Пур-Пэ,,Уренгойская
"6 сентября Подписаны дополнительные соглашения к долгосрочному Договору купли-продажи газа по «восточному» маршруту между ПАО «Газпром» и CNPC. В частности, зафиксирован переход на осуществление расчетов за поставки российского газа в Китай в национальных валютах стран — рублях и юанях;","6 сентябрь подписать дополнительный соглашение к долгосрочный договор купля-продажа газ по « восточный » маршрут между пао « газпром » и cnpc . в частность , зафиксировать переход на осуществление расчет за поставка российский газ в китай в национальный валюта страна — рубль и юань ;",Китай,,CNPC ПАО «Газпром»
"29 сентября В Корсаковском районе Сахалинской области состоялся пуск газа на газораспределительную станцию «Корсаков», построенную в рамках программы развития газоснабжения и газификации Сахалинской области.","29 сентябрь в корсаковский район сахалинский область состояться пуск газ на газораспределительный станция « корсаков » , построить в рамка программа развитие газоснабжение и газификация сахалинский область .",Сахалинская область Корсаков Корсаковский район,,
"30 сентября Внеочередное Общее собрание акционеров ПАО «Газпром» в форме заочного голосования утвердило размер промежуточных дивидендов за первое полугодие 2022 года — 51,03 руб. на одну акцию. Это рекордно высокий объем дивидендов в истории компании и всего российского фондового рынка.","30 сентябрь внеочередной общий собрание акционер пао « газпром » в форма заочный голосование утвердить размер промежуточный дивиденд за первый полугодие 2022 год — 51,03 руб . на один акция . это рекордно высокий объем дивиденд в история компания и весь российский фондовый рынок .",,,ПАО «Газпром»
"21 декабря Запущены в работу Ковыктинское месторождение и участок газопровода «Сила Сибири». Теперь газ в «Силу Сибири» поступает с обоих источников — Ковыктинского и Чаяндинского месторождений, а газопровод «Сила Сибири» введен в эксплуатацию на всей протяженности — более 3 тыс. км.","21 декабрь запустить в работа ковыктинский месторождение и участок газопровод « сила сибирь » . теперь газ в « сила сибирь » поступать с оба источник — ковыктинский и чаяндинской месторождение , а газопровод « сила сибирь » ввести в эксплуатация на весь протяженность — более 3 тыс . км .",Ковыктинский Чаяндинское месторождения Ковыктинское,,Сила Сибири
6 декабря Запущено в работу Семаковское газовое месторождение в Ямало-Ненецком автономном округе.,6 декабрь запустить в работа семаковское газовый месторождение в ямало-ненецкий автономный округ .,Ямало-Ненецкий автономный округ Семаковское,,
2 декабря «Газпром» построил на территории «Сириус» в Краснодарском крае самый современный в мире Центр художественной гимнастики.,2 декабрь « газпром » построить на территория « сириус » в краснодарский край самый современный в мир центр художественный гимнастика .,Краснодарский край,,Газпром Центр художественной гимнастики Сириус
